Sample	total	total_yield	perfectIndex	yieldQ30	qscore_sum	R1_yield	R1_Q30	R1_trimmed_bases	R2_yield	R2_Q30	R2_trimmed_bases	percent_Q30	percent_perfectIndex	mean_qscore
37446-807138-201401561ZG-0-22H00891	20940870	6324142740	20799342	5532029023	209994180026	3162071370	2821169045	0	3162071370	2710859978	0	87.4747653624276	99.32415415405377	33.20516134112432
37446-807140-202200699MB-0-22H00931	19980514	6034115228	19818888	5292707292	200645866963	3017057614	2678010176	0	3017057614	2614697116	0	87.71306300947556	99.19108187106698	33.251911735451536
37446-807144-201707892UZ-0-22G00068	20084246	6065442292	19931624	5315334672	201634715224	3032721146	2708562903	0	3032721146	2606771769	0	87.63309279210598	99.24009096482885	33.243200663197406
37446-807146-202200577FL-0-011220280692	18372534	5548505268	18230436	4738864008	181884861790	2774252634	2401066631	0	2774252634	2337797377	0	85.40793923961	99.22657375406136	32.78087575026522
37446-807148-202110792EU-0-011220330265	15419412	4656662424	15313139	3913371109	151410168875	2328331212	2001407876	0	2328331212	1911963233	0	84.03811040351246	99.31078435416345	32.51474019131089
37446-807399-202201588KH-0-033220340221	20735599	6262150898	20586844	5492194820	208156542668	3131075449	2775003551	0	3131075449	2717191269	0	87.70460676305473	99.28261054816888	33.240422669227094
37446-807552-202006789SB-0-033220350475	20802172	6282255944	20611466	5554550481	209695648829	3141127972	2793930761	0	3141127972	2760619720	0	88.41649449677372	99.08323996167323	33.379036240838644
37446-807579-0-0-0	37120	11210240	36706	9795096	371951492	5605120	4946303	0	5605120	4848793	0	87.37632735784425	98.88469827586206	33.17961899120804
undetermined	7850488	2370847376	0	2025213461	77428153062							85.42150294030569	0.0	32.65842999671861
